alpha2,2015,2016,2017,2018,2019,2020,2021
AW,3.0340009125275477e-05,2.965709338720292e-05,2.7513460696605494e-05,2.6689336161027354e-05,2.6347186961907226e-05,2.6347186961907226e-05,2.6347186961907226e-05
AF,0.0009322605332979494,0.0011980482465478272,0.0013167697624351115,0.0013022351946091494,0.0013098027361548858,0.0013098027361548858,0.0013098027361548858
AO,0.001133991503645169,0.0011335379755856505,0.0011489329709182257,0.0011464245002350145,0.0011638738846371283,0.0011638738846371283,0.0011638738846371283
AL,0.000597593732472874,0.0005770225994744729,0.0005547864755753313,0.0005344130064438128,0.0005069574056563299,0.0005069574056563299,0.0005069574056563299
AD,2.4794282547275612e-05,2.288448354276158e-05,1.8947427181620413e-05,1.8297895539127783e-05,1.8015397266266757e-05,1.8015397266266757e-05,1.8015397266266757e-05
AE,0.0027493033554365784,0.002563950147753777,0.002417409422569932,0.0024604836094149853,0.0024707135023325265,0.0024707135023325265,0.0024707135023325265
AR,0.009625215308860346,0.009352318376755165,0.008793591308079341,0.008578287049150932,0.00851512867868804,0.00851512867868804,0.00851512867868804
AM,0.0005670745992182283,0.000571161944407639,0.0005123600040222792,0.000495934342677745,0.0004884001960646968,0.0004884001960646968,0.0004884001960646968
AS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AG,2.1480441870655667e-05,2.0861176461157595e-05,1.9489147220008153e-05,1.8989431332487824e-05,1.8824563490736373e-05,1.8824563490736373e-05,1.8824563490736373e-05
AU,0.0066048564043131525,0.00632891268925258,0.005721665299146894,0.005610691220300945,0.005598563073410007,0.005598563073410007,0.005598563073410007
AT,0.002379282321294525,0.0022271811829382873,0.002078929629842203,0.0020121699952789698,0.0019867311586275055,0.0019867311586275055,0.0019867311586275055
AZ,0.0024367753167250697,0.0023068494965244905,0.0020919612121569086,0.0020583275741895136,0.002039980388628089,0.002039980388628089,0.002039980388628089
BI,0.00016214883660262228,0.0001640393439778594,7.741510274362661e-05,7.716165151655406e-05,7.824684153707364e-05,7.824684153707364e-05,7.824684153707364e-05
BE,0.003144863602262004,0.002963762626386338,0.0026802111963638293,0.0026288949098751554,0.0026468756636735306,0.0026468756636735306,0.0026468756636735306
BJ,0.0003903840612039806,0.0003942177966642034,0.0006006174968579235,0.0005960710535234576,0.000601957673473905,0.000601957673473905,0.000601957673473905
BF,0.0008315503624677798,0.0007869369975179198,0.000825242899731458,0.0008200796915193003,0.0008292485655111978,0.0008292485655111978,0.0008292485655111978
BD,0.007379502244560914,0.008605810442882871,0.006436188003110298,0.006280752864012983,0.005364285449372317,0.005364285449372317,0.005364285449372317
BG,0.0013337616500090719,0.0012891493808506022,0.0012057451775690255,0.001180968162010315,0.001208852940076183,0.001208852940076183,0.001208852940076183
BH,0.0004205763593033935,0.00042241760156336777,0.00038494975850308894,0.000401742423594162,0.00041731825539518446,0.00041731825539518446,0.00041731825539518446
BS,9.572656092883936e-05,9.140344514038825e-05,8.720131005451045e-05,8.506212377983455e-05,8.443410595838022e-05,8.443410595838022e-05,8.443410595838022e-05
BA,0.0005915971268098092,0.0006168579440578605,0.0005844487123844235,0.0006048246560823786,0.0005888732987365886,0.0005888732987365886,0.0005888732987365886
BY,0.001936771290742474,0.0020426915331247667,0.0018999497797151078,0.001947351912585617,0.0019988999130780634,0.0019988999130780634,0.0019988999130780634
BZ,4.923144908344601e-05,4.9645267497643695e-05,4.754380223456343e-05,4.68031339700745e-05,4.687373397218637e-05,4.687373397218637e-05,4.687373397218637e-05
BM,2.1036760373440945e-05,1.9125345756370773e-05,1.6884667403997376e-05,1.6316787572345164e-05,1.603605144310222e-05,1.603605144310222e-05,1.603605144310222e-05
BO,0.0012677560891495034,0.0013239455084126355,0.0013184013010365302,0.0012913547118822465,0.0012870580305550448,0.0012870580305550448,0.0012870580305550448
BR,0.039114478734689435,0.03793953882189802,0.03768320606699739,0.03667539074783989,0.03631742540145264,0.03631742540145264,0.03631742540145264
BB,7.122084681777234e-05,6.873107175617651e-05,6.288938660954478e-05,6.0816113715785013e-05,5.985169440672168e-05,5.985169440672168e-05,5.985169440672168e-05
BN,9.688529433772386e-05,0.00011422074943224256,0.00010821224037948806,0.00010530407551340089,0.0001049805519070063,0.0001049805519070063,0.0001049805519070063
BT,9.500961959020607e-05,9.303525331812022e-05,9.638348870075733e-05,9.417514672576484e-05,9.362489650812365e-05,9.362489650812365e-05,9.362489650812365e-05
BW,0.00025951311642839444,0.0002570340997668411,0.00027851217571389305,0.0002749231226588997,0.0002761434883170052,0.0002761434883170052,0.0002761434883170052
CF,5.599684448867276e-05,5.487247999882954e-05,5.359322135613682e-05,5.2544796789090575e-05,5.2514521543593915e-05,5.2514521543593915e-05,5.2514521543593915e-05
CA,0.01053836430077822,0.009951434680569537,0.008936386202509139,0.00875096278768055,0.008724022630512977,0.008724022630512977,0.008724022630512977
CH,0.0023762241474831235,0.002256344928475943,0.0020369901562112464,0.0019815762507190368,0.0020370509324895173,0.0020370509324895173,0.0020370509324895173
