1.,Amazon,26.03%
2.,Google,5.66%
3.,Alibaba,3.09%
4.,Microsoft,2.17%
5.,China Telecom,2.17%
6.,OVH,1.87%
7.,Hetzner,1.75%
8.,China Unicom,1.46%
9.,Automattic,1.29%
10.,Tencent,1.12%
11.,DigitalOcean,1.03%
12.,Salesforce,1.02%
13.,Verizon Group,0.80%
13.1.,    Verizon,0.73%
13.2.,    Yahoo,0.08%
13.3.,    Verizon Media,0.07%
14.,LeaseWeb Group,0.58%
14.1.,    LeaseWeb,0.58%
15.,Asiatech,0.53%
16.,Yandex,0.50%
17.,GoDaddy Group,0.47%
17.1.,    GoDaddy,0.19%
17.2.,    Host Europe,0.17%
17.3.,    PlusServer,0.09%
17.4.,    Media Temple,0.02%
18.,Rackspace,0.47%
19.,XBT Holding,0.47%
19.1.,    Webzilla,0.27%
19.2.,    Servers.com,0.18%
19.3.,    Exepto,0.02%
20.,Hurricane Electric,0.46%
21.,Linode,0.38%
22.,Selectel,0.38%
23.,NTT Group,0.37%
23.1.,    NTT Communications,0.16%
23.2.,    Netmagic,0.14%
23.3.,    NTT PC Communications,0.06%
23.4.,    NTT SmartConnect,0.01%
23.5.,    NTT Docomo,0.01%
24.,Advanced Hosting,0.30%
25.,United Internet,0.27%
25.1.,    1&1 IONOS,0.24%
25.2.,    Strato,0.02%
25.3.,    InterNetX,0.01%
26.,GitHub,0.27%
27.,KT Group,0.27%
27.1.,    KT Corporation,0.27%
28.,Newfold Digital Group,0.26%
28.1.,    Newfold Digital,0.19%
28.2.,    PublicDomainRegistry,0.03%
28.3.,    Network Solutions,0.03%
29.,Internet Initiative Japan,0.26%
30.,Internap Group,0.25%
30.1.,    Internap,0.22%
30.2.,    iWeb,0.03%
31.,IBM,0.25%
32.,Neustar,0.25%
33.,CenturyLink,0.24%
34.,Oracle,0.24%
35.,Liquid Web,0.23%
36.,Chunghwa Telecom,0.23%
37.,LG Group,0.23%
37.1.,    LG U+,0.23%
38.,IDC Frontier,0.23%
39.,Sakura,0.21%
40.,VNPT,0.21%
41.,Squarespace,0.19%
42.,China Mobile,0.19%
43.,Scaleway,0.18%
44.,Delta Telecom,0.18%
45.,Hivelocity,0.16%
46.,CSC,0.16%
47.,Zoho,0.16%
48.,Deutsche Telekom Group,0.15%
48.1.,    T-Systems,0.05%
48.2.,    Slovak Telecom,0.05%
48.3.,    Magyar Telekom,0.03%
48.4.,    Deutsche Telekom,0.01%
48.5.,    T-Mobile,0.01%
49.,Vodafone,0.15%
50.,Afranet,0.15%
51.,Zenlayer,0.14%
52.,Contabo,0.13%
53.,Choopa,0.13%
54.,Pars Online,0.13%
55.,SK Group,0.13%
55.1.,    SK Broadband,0.10%
55.2.,    SK Telecom,0.01%
55.3.,    SK Holdings C&C,0.01%
56.,Equinix,0.13%
57.,Hostinger,0.11%
58.,GMO Internet Group,0.11%
58.1.,    GMO Internet,0.08%
58.2.,    GMO GlobalSign,0.03%
59.,Aruba Group,0.11%
59.1.,    Aruba,0.11%
60.,Serverel,0.11%
61.,KDDI Group,0.11%
61.1.,    KDDI Corporation,0.11%
62.,Namecheap,0.10%
63.,XServer,0.10%
64.,Rostelecom Group,0.10%
64.1.,    Rostelecom,0.09%
64.2.,    RTComm.RU,0.01%
65.,Cogent,0.10%
66.,First Colo,0.10%
67.,team.blue,0.09%
67.1.,    Natro,0.03%
67.2.,    Signet,0.03%
67.3.,    Simply Transit,0.01%
67.4.,    SuperHosting.BG,0.01%
68.,InMotion,0.09%
69.,Scalaxy,0.09%
70.,AT&T,0.09%
71.,HKBN,0.09%
72.,Cnservers,0.09%
73.,REG.RU,0.08%
74.,DreamHost,0.08%
75.,FPT,0.08%
76.,Codero,0.08%
77.,Baidu,0.08%
78.,A2 Hosting,0.07%
79.,Pair Networks,0.07%
80.,Telia Company Group,0.07%
80.1.,    Telia Company,0.03%
80.2.,    Telia Latvija,0.02%
80.3.,    Telia Lietuva,0.01%
81.,Pars Parva System,0.06%
82.,QuadraNet,0.06%
83.,PhoenixNAP,0.06%
84.,Hostiran,0.06%
85.,CtrlS,0.06%
86.,RBC Group,0.05%
86.1.,    RosBusinessConsulting,0.02%
86.2.,    RU-Center,0.01%
86.3.,    SpaceWeb,0.01%
87.,Radore,0.05%
88.,Viettel,0.05%
89.,InterServer,0.05%
90.,Ntirety,0.05%
91.,TierPoint,0.05%
92.,MiroHost,0.05%
93.,Premier DC,0.05%
94.,UCloud,0.05%
95.,NetEase,0.05%
96.,Turkmentelecom,0.05%
97.,АО IoT,0.03%
98.,Faraso Samaneh Pasargad,0.03%
99.,Gandi,0.03%
100.,Voxility,0.03%
101.,Flexential,0.03%
102.,MojoHost,0.03%
103.,Internet Thailand,0.03%
104.,Gruppo TIM,0.03%
105.,Telecom Egypt,0.03%
106.,Maxihost,0.03%
107.,Cisco,0.03%
108.,Weebly,0.02%
109.,Mihan,0.02%
110.,Beltelecom,0.02%
111.,Xneelo,0.02%
112.,iomart Group,0.02%
112.1.,    iomart,0.02%
113.,Tebyan,0.02%
114.,Cogeco Group,0.02%
114.1.,    Aptum,0.02%
115.,One.com,0.02%
116.,Steadfast,0.02%
117.,Masterhost,0.02%
118.,Exabytes Group,0.02%
118.1.,    Exabytes,0.02%
119.,DGN Teknoloji,0.02%
120.,DHH,0.02%
120.1.,    Seeweb,0.01%
120.2.,    DHH Croatia,0.01%
121.,PS Internet Company,0.02%
122.,Netdirekt,0.02%
123.,Dinahosting,0.02%
124.,VSHosting,0.02%
125.,Confluence-Networks,0.02%
126.,M247,0.02%
127.,Bezeq Group,0.02%
127.1.,    Bezeq,0.02%
128.,Psychz,0.02%
129.,Hostwinds,0.02%
130.,Compubyte,0.02%
131.,Romarg,0.02%
132.,Sharktech,0.02%
133.,Casablanca,0.02%
134.,PTisp,0.02%
135.,Expedient,0.02%
136.,SH.cz,0.02%
137.,Fly,0.02%
138.,DEAC,0.02%
139.,Aerotek,0.01%
140.,EuroByte,0.01%
141.,ServerCentral,0.01%
142.,PrivateSystems,0.01%
143.,Dreamscape Networks,0.01%
144.,CS LoxInfo,0.01%
145.,20i,0.01%
146.,Serverpars,0.01%
147.,Güzel Hosting,0.01%
148.,Infomaniak,0.01%
149.,WPX Hosting,0.01%
150.,Isimtescil,0.01%
151.,UpCloud,0.01%
152.,CAT Telecom,0.01%
153.,DonWeb,0.01%
154.,ColoCrossing,0.01%
155.,Hostiserver,0.01%
156.,GloboTech,0.01%
157.,Tucows Group,0.01%
157.1.,    Tucows,0.01%
158.,CMC Telecom,0.01%
159.,Wildcard,0.01%
160.,Comcast,0.01%
161.,Cellcom,0.01%
162.,Performive,0.01%
163.,Master Internet,0.01%
164.,WorldStream,0.01%
165.,Tiggee,0.01%
166.,WebSupport,0.01%
167.,EGIHosting,0.01%
168.,GlobalConnect,0.01%
169.,TheGigabit,0.01%
170.,Atman,0.01%
171.,Serverius,0.01%
172.,GleSYS,0.01%
173.,Enartia Group,0.01%
173.1.,    Enartia,0.01%
174.,CEC,0.01%
175.,Alwaysdata,0.01%
176.,Kamatera,0.01%
177.,Telecom Algeria,0.01%
