Amazon,26.03%
Google,5.66%
Alibaba,3.09%
Microsoft,2.17%
China Telecom,2.17%
OVH,1.87%
Hetzner,1.75%
China Unicom,1.46%
Automattic,1.29%
Tencent,1.12%
DigitalOcean,1.03%
Salesforce,1.02%
Verizon Group,0.80%
LeaseWeb Group,0.58%
Asiatech,0.53%
Yandex,0.50%
GoDaddy Group,0.47%
Rackspace,0.47%
XBT Holding,0.47%
Hurricane Electric,0.46%
Linode,0.38%
Selectel,0.38%
NTT Group,0.37%
Advanced Hosting,0.30%
United Internet,0.27%
GitHub,0.27%
KT Group,0.27%
Newfold Digital Group,0.26%
Internet Initiative Japan,0.26%
Internap Group,0.25%
IBM,0.25%
Neustar,0.25%
CenturyLink,0.24%
Oracle,0.24%
Liquid Web,0.23%
Chunghwa Telecom,0.23%
LG Group,0.23%
IDC Frontier,0.23%
Sakura,0.21%
VNPT,0.21%
Squarespace,0.19%
China Mobile,0.19%
Scaleway,0.18%
Delta Telecom,0.18%
Hivelocity,0.16%
CSC,0.16%
Zoho,0.16%
Deutsche Telekom Group,0.15%
Vodafone,0.15%
Afranet,0.15%
Zenlayer,0.14%
Contabo,0.13%
Choopa,0.13%
Pars Online,0.13%
SK Group,0.13%
Equinix,0.13%
Hostinger,0.11%
GMO Internet Group,0.11%
Aruba Group,0.11%
Serverel,0.11%
KDDI Group,0.11%
Namecheap,0.10%
XServer,0.10%
Rostelecom Group,0.10%
Cogent,0.10%
First Colo,0.10%
team.blue,0.09%
InMotion,0.09%
Scalaxy,0.09%
AT&T,0.09%
HKBN,0.09%
Cnservers,0.09%
REG.RU,0.08%
DreamHost,0.08%
FPT,0.08%
Codero,0.08%
Baidu,0.08%
A2 Hosting,0.07%
Pair Networks,0.07%
Telia Company Group,0.07%
Pars Parva System,0.06%
QuadraNet,0.06%
PhoenixNAP,0.06%
Hostiran,0.06%
CtrlS,0.06%
RBC Group,0.05%
Radore,0.05%
Viettel,0.05%
InterServer,0.05%
Ntirety,0.05%
TierPoint,0.05%
MiroHost,0.05%
Premier DC,0.05%
UCloud,0.05%
NetEase,0.05%
Turkmentelecom,0.05%
АО IoT,0.03%
Faraso Samaneh Pasargad,0.03%
Gandi,0.03%
Voxility,0.03%
Flexential,0.03%
MojoHost,0.03%
Internet Thailand,0.03%
Gruppo TIM,0.03%
Telecom Egypt,0.03%
Maxihost,0.03%
Cisco,0.03%
Weebly,0.02%
Mihan,0.02%
Beltelecom,0.02%
Xneelo,0.02%
iomart Group,0.02%
Tebyan,0.02%
Cogeco Group,0.02%
One.com,0.02%
Steadfast,0.02%
Masterhost,0.02%
Exabytes Group,0.02%
DGN Teknoloji,0.02%
DHH,0.02%
PS Internet Company,0.02%
Netdirekt,0.02%
Dinahosting,0.02%
VSHosting,0.02%
Confluence-Networks,0.02%
M247,0.02%
Bezeq Group,0.02%
Psychz,0.02%
Hostwinds,0.02%
Compubyte,0.02%
Romarg,0.02%
Sharktech,0.02%
Casablanca,0.02%
PTisp,0.02%
Expedient,0.02%
SH.cz,0.02%
Fly,0.02%
DEAC,0.02%
Aerotek,0.01%
EuroByte,0.01%
ServerCentral,0.01%
PrivateSystems,0.01%
Dreamscape Networks,0.01%
CS LoxInfo,0.01%
20i,0.01%
Serverpars,0.01%
Güzel Hosting,0.01%
Infomaniak,0.01%
WPX Hosting,0.01%
Isimtescil,0.01%
UpCloud,0.01%
CAT Telecom,0.01%
DonWeb,0.01%
ColoCrossing,0.01%
Hostiserver,0.01%
GloboTech,0.01%
Tucows Group,0.01%
CMC Telecom,0.01%
Wildcard,0.01%
Comcast,0.01%
Cellcom,0.01%
Performive,0.01%
Master Internet,0.01%
WorldStream,0.01%
Tiggee,0.01%
WebSupport,0.01%
EGIHosting,0.01%
GlobalConnect,0.01%
TheGigabit,0.01%
Atman,0.01%
Serverius,0.01%
GleSYS,0.01%
Enartia Group,0.01%
CEC,0.01%
Alwaysdata,0.01%
Kamatera,0.01%
Telecom Algeria,0.01%
