1.,Cloudflare,26.91%
2.,Amazon,24.71%
3.,Akamai,5.72%
4.,NS1,3.20%
5.,Google,2.95%
6.,Alibaba Group,2.49%
6.1.,    Alibaba,1.38%
6.2.,    HiChina,1.12%
7.,Tencent,2.39%
8.,Neustar UltraDNS,2.20%
9.,GoDaddy Group,1.60%
9.1.,    GoDaddy,1.51%
9.2.,    Host Europe,0.06%
9.3.,    Media Temple,0.02%
9.4.,    PlusServer,0.01%
10.,DNS Made Easy,1.42%
11.,Oracle Dyn,1.35%
12.,RBC Group,0.90%
12.1.,    RU-Center,0.85%
12.2.,    R01,0.02%
12.3.,    RosBusinessConsulting,0.02%
13.,Microsoft,0.71%
14.,CSC,0.64%
15.,ClouDNS,0.57%
16.,Namecheap,0.46%
17.,ArvanCloud,0.41%
18.,Automattic,0.39%
19.,United Internet,0.33%
19.1.,    1&1 IONOS,0.21%
19.2.,    InterNetX,0.05%
19.3.,    home.pl,0.02%
19.4.,    World4You,0.02%
19.5.,    Strato,0.01%
19.6.,    Fasthosts,0.01%
20.,Verizon Group,0.30%
20.1.,    Verizon,0.25%
20.2.,    Yahoo,0.06%
21.,DNSimple,0.30%
22.,Newfold Digital Group,0.29%
22.1.,    Network Solutions,0.08%
22.2.,    Register.com,0.08%
22.3.,    HostGator,0.04%
22.4.,    Bluehost,0.02%
22.5.,    ResellerClub,0.02%
22.6.,    PublicDomainRegistry,0.01%
22.7.,    Newfold Digital,0.01%
22.8.,    BigRock,0.01%
22.9.,    Domain.com,0.01%
23.,Internet Initiative Japan,0.29%
24.,OVH,0.26%
25.,Gandi,0.26%
26.,DigitalOcean,0.23%
27.,Hetzner,0.22%
28.,IBM,0.22%
29.,Yandex,0.21%
30.,Asiatech,0.21%
31.,team.blue,0.19%
31.1.,    Register.it,0.12%
31.2.,    TransIP,0.02%
31.3.,    Natro,0.01%
31.4.,    Names.co.uk,0.01%
31.5.,    SuperHosting.BG,0.01%
31.6.,    Amen,0.01%
32.,GMO Internet Group,0.19%
32.1.,    Onamae,0.09%
32.2.,    GMO Internet,0.05%
32.3.,    GMO Pepabo,0.04%
32.4.,    Lolipop,0.01%
32.5.,    Color Me Shop,0.01%
33.,Rackspace,0.19%
34.,easyDNS Group,0.19%
34.1.,    easyDNS,0.14%
34.2.,    ZoneEdit,0.05%
35.,Chunghwa Telecom,0.19%
36.,Linode,0.16%
37.,Aruba Group,0.16%
37.1.,    Aruba,0.16%
38.,Name.com,0.16%
39.,AT&T,0.14%
40.,Tucows Group,0.13%
40.1.,    eNom,0.11%
40.2.,    Tucows,0.02%
41.,XServer,0.13%
42.,XinNet,0.13%
43.,MarkMonitor,0.13%
44.,REG.RU,0.12%
45.,Ezoic,0.12%
46.,VNPT,0.12%
47.,Hostinger,0.11%
48.,Sakura,0.11%
49.,Selectel,0.11%
50.,DNS.com,0.09%
51.,SiteGround,0.07%
52.,InMotion,0.07%
53.,Gabia,0.07%
54.,Internet.BS,0.07%
55.,PA Vietnam,0.06%
56.,Choopa,0.06%
57.,Liquid Web,0.06%
58.,Hurricane Electric,0.06%
59.,DDoS-Guard,0.06%
60.,NetEase,0.06%
61.,A2 Hosting,0.05%
62.,MiroHost,0.05%
63.,FastVPS,0.05%
64.,Scaleway,0.05%
65.,Sucuri,0.05%
66.,DreamHost,0.04%
67.,One.com,0.04%
68.,NameSilo,0.04%
69.,XBT Holding,0.04%
69.1.,    Webzilla,0.04%
70.,Hostiran,0.04%
71.,Enartia Group,0.04%
71.1.,    Top.Host,0.02%
71.2.,    Papaki,0.01%
72.,Total Uptime,0.04%
73.,Cisco,0.04%
74.,Hosting Ukraine,0.02%
75.,Netafraz,0.02%
76.,Mihan,0.02%
77.,Contabo,0.02%
78.,Prom.ua,0.02%
79.,Hoster.by,0.02%
80.,Cafe24,0.02%
81.,Visma Group,0.02%
81.1.,    Active 24,0.02%
82.,Infomaniak,0.02%
83.,Pair Networks,0.02%
84.,Hivelocity,0.02%
85.,StackPath,0.02%
86.,Comodo,0.02%
87.,Mail.Ru,0.02%
88.,ironDNS,0.02%
89.,Wix,0.01%
90.,Squarespace,0.01%
91.,Güzel Hosting,0.01%
92.,Dreamscape Networks,0.01%
93.,Aerotek,0.01%
94.,Nhan Hoa,0.01%
95.,Masterhost,0.01%
96.,WPX Hosting,0.01%
97.,DonWeb,0.01%
98.,Webempresa,0.01%
99.,cdmon,0.01%
100.,Registro.br,0.01%
101.,Zone Media,0.01%
102.,SiteSell,0.01%
103.,Hostwinds,0.01%
104.,CSL,0.01%
105.,Internet Thailand,0.01%
106.,CtrlS,0.01%
107.,Liberty Global Group,0.01%
107.1.,    Virgin Media,0.01%
108.,VSHosting,0.01%
109.,1984 Hosting,0.01%
110.,WorldwideDNS,0.01%
111.,Deninet,0.01%
