Amazon,27.4%
Cloudflare,15.7%
Akamai,10.6%
NS1,7.7%
Google,6.6%
Neustar UltraDNS,5.9%
Alibaba Group,3.9%
Tencent,3.7%
Oracle Dyn,3.7%
DNS Made Easy,1.2%
RBC Group,1.0%
Microsoft,0.9%
ClouDNS,0.8%
Verizon Group,0.8%
GoDaddy Group,0.6%
Automattic,0.6%
CSC,0.6%
ArvanCloud,0.4%
IBM,0.4%
Internet Initiative Japan,0.4%
United Internet,0.3%
Chunghwa Telecom,0.3%
AT&T,0.3%
Yandex,0.2%
DNSimple,0.2%
Cisco,0.2%
Newfold Digital Group,0.1%
Namecheap,0.1%
Hostinger,0.1%
Hetzner,0.1%
PA Vietnam,0.1%
Squarespace,0.1%
Tucows Group,0.1%
Gandi,0.1%
Aruba Group,0.1%
Choopa,0.1%
VNPT,0.1%
Gabia,0.1%
Asiatech,0.1%
Mail.Ru,0.1%
Total Uptime,0.1%
NetEase,0.1%
