1.,United States and territories,59.6%
1.1.,    United States,59.6%
2.,Germany,33.2%
3.,China and territories,14.3%
3.1.,    China,12.7%
3.2.,    Hong Kong,2.8%
4.,France and territories,11.7%
4.1.,    France,11.7%
5.,Singapore,5.5%
6.,Japan,5.5%
7.,Italy,5.4%
8.,Russian Federation,4.8%
9.,United Kingdom and territories,4.6%
9.1.,    United Kingdom,4.6%
10.,Netherlands and territories,4.3%
10.1.,    Netherlands,4.3%
11.,Finland and territories,4.3%
11.1.,    Finland,4.3%
12.,Ireland,3.6%
13.,Iran,2.9%
14.,India,2.9%
15.,Poland,2.8%
16.,Czech Republic,1.7%
17.,Taiwan,1.5%
18.,South Korea,1.1%
19.,Switzerland,1.1%
20.,Sweden,1.1%
21.,Turkey,0.8%
22.,Canada,0.8%
23.,Belgium,0.7%
24.,Viet Nam,0.6%
25.,Indonesia,0.6%
26.,Austria,0.4%
27.,Luxembourg,0.4%
28.,Australia,0.3%
29.,Brazil,0.3%
30.,Kazakhstan,0.3%
31.,United Arab Emirates,0.3%
32.,Venezuela,0.3%
33.,Afghanistan,0.3%
34.,Thailand,0.1%
35.,Spain,0.1%
36.,Denmark and territories,0.1%
36.1.,    Denmark,0.1%
37.,Malaysia,0.1%
38.,Argentina,0.1%
39.,Chile,0.1%
40.,Iceland,0.1%
41.,Bosnia and Herzegovina,0.1%
42.,Cyprus,0.1%
43.,Angola,0.1%
