1.,DigiCert Group,48.61%
1.1.,    DigiCert,48.43%
1.2.,    Verisign,0.19%
2.,IdenTrust,22.25%
3.,GoDaddy Group,15.39%
3.1.,    Starfield,11.67%
3.2.,    GoDaddy,3.91%
4.,Sectigo,13.56%
5.,GlobalSign,9.52%
6.,Entrust,1.81%
7.,Certum,1.77%
8.,Let’s Encrypt,1.47%
9.,Secom Trust,0.90%
10.,WISeKey Group,0.27%
10.1.,    QuoVadis,0.27%
11.,TWCA,0.19%
12.,Trustwave,0.11%
13.,Actalis,0.09%
14.,Certigna,0.09%
15.,Deutsche Telekom,0.08%
16.,Chunghwa Telecom,0.07%
17.,SwissSign,0.06%
18.,D-Trust,0.04%
19.,E-Tugra,0.02%
20.,Hongkong Post,0.02%
21.,ZeroSSL,0.01%
22.,Buypass,0.01%
23.,SSL.com,0.01%
24.,Logius,0.01%
25.,NetLock,0.01%
26.,Izenpe,0.01%
27.,Harica,0.01%
28.,AffirmTrust,0.01%
