1.,Amazon,24.29%
2.,Zendesk,5.03%
3.,Google,4.73%
4.,Alibaba,3.41%
5.,China Telecom,2.33%
6.,WP Engine Group,2.15%
6.1.,    WP Engine,2.03%
6.2.,    Flywheel,0.11%
7.,Microsoft,2.11%
8.,OVH,1.85%
9.,Hetzner,1.66%
10.,Salesforce,1.51%
11.,Shopify,1.41%
12.,China Unicom,1.37%
13.,Automattic Group,1.29%
13.1.,    Automattic,1.20%
13.2.,    Tumblr,0.11%
14.,Tencent,1.12%
15.,Intercom,0.86%
16.,DigitalOcean,0.85%
17.,Verizon Group,0.83%
17.1.,    Verizon,0.77%
17.2.,    Yahoo,0.08%
17.3.,    Verizon Media,0.01%
18.,Netlify,0.74%
19.,CenturyLink,0.67%
20.,Webflow,0.62%
21.,HubSpot,0.61%
22.,Pantheon,0.57%
23.,Asiatech,0.53%
24.,LeaseWeb Group,0.53%
24.1.,    LeaseWeb,0.53%
25.,Acquia,0.51%
26.,Vercel,0.48%
27.,XBT Holding,0.47%
27.1.,    Webzilla,0.26%
27.2.,    Servers.com,0.17%
27.3.,    Exepto,0.02%
27.4.,    Fozzy,0.01%
27.5.,    Root.lu,0.01%
28.,China Mobile,0.47%
29.,GoDaddy Group,0.46%
29.1.,    GoDaddy,0.17%
29.2.,    Host Europe,0.14%
29.3.,    PlusServer,0.09%
29.4.,    Media Temple,0.03%
29.5.,    Domainfactory,0.01%
29.6.,    velia.net,0.01%
30.,Rackspace,0.46%
31.,Hurricane Electric,0.46%
32.,Linode,0.38%
33.,Selectel,0.38%
34.,NTT Group,0.37%
34.1.,    NTT Communications,0.16%
34.2.,    Netmagic,0.14%
34.3.,    NTT PC Communications,0.06%
34.4.,    NTT SmartConnect,0.01%
34.5.,    NTT Docomo,0.01%
35.,Medium,0.37%
36.,KT Group,0.34%
36.1.,    KT Corporation,0.34%
37.,LG Group,0.32%
37.1.,    LG U+,0.32%
38.,Newfold Digital Group,0.31%
38.1.,    Newfold Digital,0.08%
38.2.,    HostGator,0.07%
38.3.,    Bluehost,0.07%
38.4.,    PublicDomainRegistry,0.03%
38.5.,    Network Solutions,0.03%
38.6.,    PowWeb,0.02%
38.7.,    TypePad,0.01%
39.,Kinsta,0.31%
40.,GitHub,0.31%
41.,Advanced Hosting,0.30%
42.,Yandex,0.30%
43.,United Internet,0.27%
43.1.,    1&1 IONOS,0.23%
43.2.,    Strato,0.02%
43.3.,    Fasthosts,0.02%
43.4.,    InterNetX,0.01%
44.,Internet Initiative Japan,0.26%
45.,IBM,0.24%
46.,Internap Group,0.23%
46.1.,    Internap,0.19%
